Usage data for account gpuuva065

Month      Account    User                    SBUs      Restituted
---------- ---------- ------------ --------------- --------------- 
2025-11-20 gpuuva065  scur1703               471.9             0.0
2025-11-21 gpuuva065  scur1703               851.7             0.0
2025-11-22 gpuuva065  scur1703               960.7             0.0
2025-12-01 gpuuva065  scur1703               877.3             0.0
2025-12-08 gpuuva065  scur1703               159.3             0.0
2025-12-09 gpuuva065  scur1703               941.8             0.0
2025-12-10 gpuuva065  scur1703             19838.1             0.0
2025-12-13 gpuuva065  scur1703             23042.1             0.0
Totals for this user                       47143.0             0.0

2025-11-10 gpuuva065  scur1705              1590.2             0.0
2025-11-12 gpuuva065  scur1705              1855.4             0.0
2025-11-17 gpuuva065  scur1705                 4.4             0.0
2025-11-20 gpuuva065  scur1705                31.2             0.0
2025-11-21 gpuuva065  scur1705                 0.6             0.0
2025-11-22 gpuuva065  scur1705                 1.4             0.0
2025-11-23 gpuuva065  scur1705              2067.8             0.0
2025-12-05 gpuuva065  scur1705                23.0             0.0
2025-12-06 gpuuva065  scur1705               182.5             0.0
2025-12-07 gpuuva065  scur1705              2326.3             0.0
2025-12-08 gpuuva065  scur1705              2072.8             0.0
2025-12-09 gpuuva065  scur1705              2172.3             0.0
2025-12-10 gpuuva065  scur1705               254.5             0.0
2025-12-11 gpuuva065  scur1705              4085.3             0.0
2025-12-12 gpuuva065  scur1705              2235.7             0.0
2025-12-14 gpuuva065  scur1705             15361.6             0.0
Totals for this user                       34265.0             0.0

2025-11-11 gpuuva065  scur1706               121.2             0.0
2025-11-12 gpuuva065  scur1706              7314.2             0.0
2025-11-13 gpuuva065  scur1706              3864.9             0.0
2025-11-17 gpuuva065  scur1706              6495.6             0.0
2025-11-19 gpuuva065  scur1706              6670.6             0.0
2025-11-20 gpuuva065  scur1706             17322.3             0.0
2025-11-21 gpuuva065  scur1706             14944.7             0.0
2025-11-22 gpuuva065  scur1706             67009.6             0.0
2025-12-01 gpuuva065  scur1706               903.6             0.0
2025-12-02 gpuuva065  scur1706              6484.9             0.0
2025-12-03 gpuuva065  scur1706                56.4             0.0
Totals for this user                      131188.1             0.0

2025-11-04 gpuuva065  scur1707               173.8             0.0
2025-11-05 gpuuva065  scur1707                35.0             0.0
2025-11-06 gpuuva065  scur1707                 4.2             0.0
2025-11-07 gpuuva065  scur1707              6908.5             0.0
2025-11-10 gpuuva065  scur1707               129.0             0.0
2025-11-11 gpuuva065  scur1707               113.1             0.0
2025-11-13 gpuuva065  scur1707               144.2             0.0
2025-11-16 gpuuva065  scur1707               744.9             0.0
2025-11-17 gpuuva065  scur1707              1895.8             0.0
2025-11-18 gpuuva065  scur1707               502.1             0.0
2025-11-23 gpuuva065  scur1707                35.7             0.0
2025-11-24 gpuuva065  scur1707               427.3             0.0
2025-12-01 gpuuva065  scur1707               311.4             0.0
2025-12-02 gpuuva065  scur1707              1757.0             0.0
2025-12-05 gpuuva065  scur1707                66.0             0.0
Totals for this user                       13247.9             0.0

2025-11-04 gpuuva065  scur1708                32.2             0.0
2025-11-10 gpuuva065  scur1708               897.3             0.0
2025-11-17 gpuuva065  scur1708                40.5             0.0
2025-11-18 gpuuva065  scur1708               121.9             0.0
2025-11-20 gpuuva065  scur1708                 4.2             0.0
2025-12-07 gpuuva065  scur1708               828.4             0.0
2025-12-08 gpuuva065  scur1708              3467.7             0.0
2025-12-09 gpuuva065  scur1708              5379.0             0.0
2025-12-11 gpuuva065  scur1708               163.0             0.0
2025-12-12 gpuuva065  scur1708              1738.9             0.0
2025-12-13 gpuuva065  scur1708              2284.6             0.0
2025-12-14 gpuuva065  scur1708               281.1             0.0
2025-12-15 gpuuva065  scur1708                 6.2             0.0
2025-12-16 gpuuva065  scur1708              2476.2             0.0
2025-12-17 gpuuva065  scur1708               759.7             0.0
2025-12-18 gpuuva065  scur1708              4837.9             0.0
2025-12-19 gpuuva065  scur1708               269.0             0.0
2025-12-20 gpuuva065  scur1708              1370.0             0.0
Totals for this user                       24957.4             0.0

2025-11-12 gpuuva065  scur1709                 3.3             0.0
2025-11-13 gpuuva065  scur1709               148.1             0.0
2025-11-17 gpuuva065  scur1709                 5.6             0.0
2025-11-18 gpuuva065  scur1709               225.9             0.0
2025-12-03 gpuuva065  scur1709                12.2             0.0
2025-12-04 gpuuva065  scur1709                25.6             0.0
2025-12-05 gpuuva065  scur1709                43.1             0.0
2025-12-06 gpuuva065  scur1709              8734.3             0.0
2025-12-08 gpuuva065  scur1709               292.5             0.0
2025-12-09 gpuuva065  scur1709               131.0             0.0
2025-12-10 gpuuva065  scur1709               721.8             0.0
2025-12-11 gpuuva065  scur1709                80.1             0.0
2025-12-12 gpuuva065  scur1709             13725.7             0.0
2025-12-13 gpuuva065  scur1709                46.1             0.0
2025-12-14 gpuuva065  scur1709              2974.6             0.0
2025-12-15 gpuuva065  scur1709              2708.5             0.0
2025-12-16 gpuuva065  scur1709              2619.0             0.0
2025-12-17 gpuuva065  scur1709                 0.0             0.0
2025-12-18 gpuuva065  scur1709             28312.0             0.0
2025-12-19 gpuuva065  scur1709              5032.1             0.0
2025-12-20 gpuuva065  scur1709                64.6             0.0
Totals for this user                       65906.3             0.0

2025-11-12 gpuuva065  scur1710                 4.4             0.0
2025-11-13 gpuuva065  scur1710              1082.2             0.0
2025-11-17 gpuuva065  scur1710              1296.2             0.0
2025-11-18 gpuuva065  scur1710                 1.7             0.0
2025-11-20 gpuuva065  scur1710              1563.5             0.0
2025-11-21 gpuuva065  scur1710                10.5             0.0
2025-11-23 gpuuva065  scur1710               806.2             0.0
2025-12-01 gpuuva065  scur1710               346.5             0.0
2025-12-02 gpuuva065  scur1710                93.8             0.0
2025-12-03 gpuuva065  scur1710               437.2             0.0
2025-12-04 gpuuva065  scur1710              3199.9             0.0
2025-12-05 gpuuva065  scur1710              1802.7             0.0
2025-12-08 gpuuva065  scur1710              8390.1             0.0
2025-12-09 gpuuva065  scur1710              1470.6             0.0
2025-12-10 gpuuva065  scur1710               138.0             0.0
